Possibility,BeginActor,FacingActor,EndActor,IntermediateStops,Question,Answer,Options
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the backpack facing the sidetable. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",D,"['A. Turn Back, Turn Right', 'B. Turn Back, Turn Back', 'C. Turn Right, Turn Back', 'D. Turn Left, Turn Left']"
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V","You are a robot beginning at the backpack facing the sidetable. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the heater. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Back, Turn Back, Turn Back', 'B. Turn Back, Turn Back, Turn Left', 'C. Turn Right, Turn Left, Turn Back', 'D. Turn Left, Turn Back, Turn Back']"
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the sidetable. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the plant. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Right, Turn Right, Turn Back', 'B. Turn Back, Turn Back, Turn Left', 'C. Turn Back, Turn Left, Turn Right', 'D. Turn Back, Turn Right, Turn Right']"
14,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the sidetable. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the heater. 5. [please fill in] 6. Go forward until the plant. 7. [please fill in] 8. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Back, Turn Left, Turn Right, Turn Left', 'B. Turn Right, Turn Back, Turn Left, Turn Left', 'C. Turn Back, Turn Back, Turn Back, Turn Right', 'D. Turn Back, Turn Back, Turn Left, Turn Left']"
15,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,,"You are a robot beginning at the backpack facing the suitcase. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Right', 'B. Turn Left', 'C. Turn Back']"
16,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,"You are a robot beginning at the backpack facing the suitcase. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Back, Turn Back', 'B. Turn Left, Turn Right', 'C. Turn Back, Turn Right', 'D. Turn Left, Turn Back']"
17,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the backpack facing the suitcase. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Left, Turn Back', 'B. Turn Left, Turn Right', 'C. Turn Left, Turn Left', 'D. Turn Back, Turn Right']"
18,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V","You are a robot beginning at the backpack facing the suitcase. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the heater. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Left, Turn Left, Turn Left', 'B. Turn Back, Turn Left, Turn Left', 'C. Turn Back, Turn Back, Turn Left', 'D. Turn Right, Turn Right, Turn Back']"
19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the suitcase. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the plant. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Left, Turn Left, Turn Back', 'B. Turn Left, Turn Right, Turn Right', 'C. Turn Back, Turn Back, Turn Left', 'D. Turn Right, Turn Right, Turn Back']"
20,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the suitcase. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the heater. 5. [please fill in] 6. Go forward until the plant. 7. [please fill in] 8. Go forward until the couch. You have reached the final destination.",D,"['A. Turn Back, Turn Left, Turn Right, Turn Right', 'B. Turn Right, Turn Back, Turn Back, Turn Left', 'C. Turn Back, Turn Back, Turn Back, Turn Left', 'D. Turn Back, Turn Back, Turn Back, Turn Right']"
21,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,,"You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Right', 'B. Turn Left', 'C. Turn Back']"
22,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,"You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Left, Turn Right', 'B. Turn Right, Turn Right', 'C. Turn Back, Turn Back', 'D. Turn Left, Turn Back']"
23,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Back, Turn Back', 'B. Turn Left, Turn Back', 'C. Turn Left, Turn Left', 'D. Turn Right, Turn Back']"
24,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",A,"['A. Turn Left, Turn Left', 'B. Turn Left, Turn Right', 'C. Turn Right, Turn Left', 'D. Turn Right, Turn Right']"
25,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V","You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the heater. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Right, Turn Left, Turn Right', 'B. Turn Right, Turn Back, Turn Left', 'C. Turn Back, Turn Right, Turn Right', 'D. Turn Back, Turn Left, Turn Right']"
26,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the plant. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Back, Turn Back, Turn Right', 'B. Turn Right, Turn Back, Turn Left', 'C. Turn Right, Turn Left, Turn Back', 'D. Turn Right, Turn Right, Turn Left']"
27,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the plant. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Back, Turn Back, Turn Left', 'B. Turn Right, Turn Back, Turn Back', 'C. Turn Left, Turn Back, Turn Right', 'D. Turn Right, Turn Right, Turn Right']"
28,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the basket. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the crate. 3. [please fill in] 4. Go forward until the heater. 5. [please fill in] 6. Go forward until the plant. 7. [please fill in] 8. Go forward until the couch. You have reached the final destination.",A,"['A. Turn Right, Turn Back, Turn Back, Turn Right', 'B. Turn Right, Turn Left, Turn Right, Turn Right', 'C. Turn Right, Turn Right, Turn Left, Turn Back', 'D. Turn Back, Turn Back, Turn Right, Turn Left']"
29,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,,"You are a robot beginning at the backpack facing the crate. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Back', 'B. Turn Right', 'C. Turn Left']"
30,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,"You are a robot beginning at the backpack facing the crate. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",B,"['A. Turn Back, Turn Back', 'B. Turn Back, Turn Left', 'C. Turn Left, Turn Right', 'D. Turn Left, Turn Back']"
31,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,"You are a robot beginning at the backpack facing the crate. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the plant. 3. [please fill in] 4. Go forward until the couch. You have reached the final destination.",D,"['A. Turn Left, Turn Right', 'B. Turn Left, Turn Back', 'C. Turn Right, Turn Back', 'D. Turn Back, Turn Left']"
32,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Crate_002V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,"BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V, BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V","You are a robot beginning at the backpack facing the crate. You want to navigate to the couch. You will perform the following actions (Note: for each [please fill in], choose either 'turn back,' 'turn left,' or 'turn right.'): 1. [please fill in] 2. Go forward until the heater. 3. [please fill in] 4. Go forward until the plant. 5. [please fill in] 6. Go forward until the couch. You have reached the final destination.",C,"['A. Turn Back, Turn Left, Turn Left', 'B. Turn Left, Turn Back, Turn Right', 'C. Turn Back, Turn Back, Turn Right', 'D. Turn Left, Turn Back, Turn Back']"
