FrameNumber,ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,WorldSizeX,WorldSizeY,WorldSizeZ,CameX,CamY,CamZ,CamPitch,CamYaw,CamRoll
6,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,379,525,951,719,572,194,-637.873,-581.908,49.408,42.019,55.402,98.816,-580.267,-506.005,110.000,9.564,-130.980,-0.065
6,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1188,382,1279,719,91,337,-562.633,-832.524,68.987,37.612,37.612,137.974,-580.267,-506.005,110.000,9.564,-130.980,-0.065
6,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,522,689,719,689,197,-699.287,-530.501,47.477,80.798,158.131,94.953,-580.267,-506.005,110.000,9.564,-130.980,-0.065
7,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1203,492,1279,719,76,227,-553.371,-792.199,51.679,53.733,42.717,103.357,-579.777,-506.434,110.000,10.013,-130.889,-0.065
7,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,367,530,948,719,581,189,-637.873,-581.908,49.408,42.019,55.402,98.816,-579.777,-506.434,110.000,10.013,-130.889,-0.065
7,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1185,387,1279,719,94,332,-562.633,-832.524,68.987,37.612,37.612,137.974,-579.777,-506.434,110.000,10.013,-130.889,-0.065
7,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,527,684,719,684,192,-699.287,-530.501,47.477,80.798,158.131,94.953,-579.777,-506.434,110.000,10.013,-130.889,-0.065
8,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1199,497,1279,719,80,222,-553.371,-792.199,51.679,53.733,42.717,103.357,-579.270,-506.875,110.000,10.409,-130.758,-0.064
8,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,355,535,944,719,589,184,-637.873,-581.908,49.408,42.019,55.402,98.816,-579.270,-506.875,110.000,10.409,-130.758,-0.064
8,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1180,392,1279,719,99,327,-562.633,-832.524,68.987,37.612,37.612,137.974,-579.270,-506.875,110.000,10.409,-130.758,-0.064
8,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,532,679,719,679,187,-699.287,-530.501,47.477,80.798,158.131,94.953,-579.270,-506.875,110.000,10.409,-130.758,-0.064
9,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1196,500,1279,719,83,219,-553.371,-792.199,51.679,53.733,42.717,103.357,-578.773,-507.302,110.000,10.727,-130.639,-0.063
9,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,344,539,940,719,596,180,-637.873,-581.908,49.408,42.019,55.402,98.816,-578.773,-507.302,110.000,10.727,-130.639,-0.063
9,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1177,395,1279,719,102,324,-562.633,-832.524,68.987,37.612,37.612,137.974,-578.773,-507.302,110.000,10.727,-130.639,-0.063
9,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,536,673,719,673,183,-699.287,-530.501,47.477,80.798,158.131,94.953,-578.773,-507.302,110.000,10.727,-130.639,-0.063
10,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1192,503,1279,719,87,216,-553.371,-792.199,51.679,53.733,42.717,103.357,-578.277,-507.725,110.000,10.973,-130.516,-0.062
10,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,333,542,934,719,601,177,-637.873,-581.908,49.408,42.019,55.402,98.816,-578.277,-507.725,110.000,10.973,-130.516,-0.062
10,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1173,398,1279,719,106,321,-562.633,-832.524,68.987,37.612,37.612,137.974,-578.277,-507.725,110.000,10.973,-130.516,-0.062
10,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,539,668,719,668,180,-699.287,-530.501,47.477,80.798,158.131,94.953,-578.277,-507.725,110.000,10.973,-130.516,-0.062
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1188,505,1279,719,91,214,-553.371,-792.199,51.679,53.733,42.717,103.357,-577.778,-508.147,110.000,11.145,-130.402,-0.059
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,323,544,929,719,606,175,-637.873,-581.908,49.408,42.019,55.402,98.816,-577.778,-508.147,110.000,11.145,-130.402,-0.059
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1169,400,1279,719,110,319,-562.633,-832.524,68.987,37.612,37.612,137.974,-577.778,-508.147,110.000,11.145,-130.402,-0.059
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,541,663,719,663,178,-699.287,-530.501,47.477,80.798,158.131,94.953,-577.778,-508.147,110.000,11.145,-130.402,-0.059
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1184,506,1279,719,95,213,-553.371,-792.199,51.679,53.733,42.717,103.357,-577.278,-508.565,110.000,11.238,-130.307,-0.057
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,314,545,923,719,609,174,-637.873,-581.908,49.408,42.019,55.402,98.816,-577.278,-508.565,110.000,11.238,-130.307,-0.057
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1165,401,1279,719,114,318,-562.633,-832.524,68.987,37.612,37.612,137.974,-577.278,-508.565,110.000,11.238,-130.307,-0.057
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,542,657,719,657,177,-699.287,-530.501,47.477,80.798,158.131,94.953,-577.278,-508.565,110.000,11.238,-130.307,-0.057
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1181,506,1279,719,98,213,-553.371,-792.199,51.679,53.733,42.717,103.357,-576.760,-508.994,110.000,11.251,-130.255,-0.054
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,306,545,916,719,610,174,-637.873,-581.908,49.408,42.019,55.402,98.816,-576.760,-508.994,110.000,11.251,-130.255,-0.054
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1163,402,1279,719,116,317,-562.633,-832.524,68.987,37.612,37.612,137.974,-576.760,-508.994,110.000,11.251,-130.255,-0.054
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,543,653,719,653,176,-699.287,-530.501,47.477,80.798,158.131,94.953,-576.760,-508.994,110.000,11.251,-130.255,-0.054
14,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1178,505,1279,719,101,214,-553.371,-792.199,51.679,53.733,42.717,103.357,-576.244,-509.416,110.000,11.180,-130.253,-0.050
14,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,300,544,910,719,610,175,-637.873,-581.908,49.408,42.019,55.402,98.816,-576.244,-509.416,110.000,11.180,-130.253,-0.050
14,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1161,401,1279,719,118,318,-562.633,-832.524,68.987,37.612,37.612,137.974,-576.244,-509.416,110.000,11.180,-130.253,-0.050
14,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,542,649,719,649,177,-699.287,-530.501,47.477,80.798,158.131,94.953,-576.244,-509.416,110.000,11.180,-130.253,-0.050
15,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1176,503,1279,719,103,216,-553.371,-792.199,51.679,53.733,42.717,103.357,-575.706,-509.853,110.000,11.016,-130.292,-0.046
15,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,296,542,904,719,608,177,-637.873,-581.908,49.408,42.019,55.402,98.816,-575.706,-509.853,110.000,11.016,-130.292,-0.046
15,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1159,399,1279,719,120,320,-562.633,-832.524,68.987,37.612,37.612,137.974,-575.706,-509.853,110.000,11.016,-130.292,-0.046
15,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,540,645,719,645,179,-699.287,-530.501,47.477,80.798,158.131,94.953,-575.706,-509.853,110.000,11.016,-130.292,-0.046
16,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1175,501,1279,719,104,218,-553.371,-792.199,51.679,53.733,42.717,103.357,-575.205,-510.255,110.000,10.782,-130.365,-0.041
16,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,294,539,899,719,605,180,-637.873,-581.908,49.408,42.019,55.402,98.816,-575.205,-510.255,110.000,10.782,-130.365,-0.041
16,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1159,396,1279,719,120,323,-562.633,-832.524,68.987,37.612,37.612,137.974,-575.205,-510.255,110.000,10.782,-130.365,-0.041
16,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,537,642,719,642,182,-699.287,-530.501,47.477,80.798,158.131,94.953,-575.205,-510.255,110.000,10.782,-130.365,-0.041
17,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1175,497,1279,719,104,222,-553.371,-792.199,51.679,53.733,42.717,103.357,-574.674,-510.677,110.000,10.451,-130.483,-0.036
17,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,294,535,893,719,599,184,-637.873,-581.908,49.408,42.019,55.402,98.816,-574.674,-510.677,110.000,10.451,-130.483,-0.036
17,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1159,392,1279,719,120,327,-562.633,-832.524,68.987,37.612,37.612,137.974,-574.674,-510.677,110.000,10.451,-130.483,-0.036
17,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,533,640,719,640,186,-699.287,-530.501,47.477,80.798,158.131,94.953,-574.674,-510.677,110.000,10.451,-130.483,-0.036
18,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1175,492,1279,719,104,227,-553.371,-792.199,51.679,53.733,42.717,103.357,-574.136,-511.100,110.000,10.031,-130.674,-0.031
18,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,295,530,888,719,593,189,-637.873,-581.908,49.408,42.019,55.402,98.816,-574.136,-511.100,110.000,10.031,-130.674,-0.031
18,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1160,387,1279,719,119,332,-562.633,-832.524,68.987,37.612,37.612,137.974,-574.136,-511.100,110.000,10.031,-130.674,-0.031
18,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,528,639,719,639,191,-699.287,-530.501,47.477,80.798,158.131,94.953,-574.136,-511.100,110.000,10.031,-130.674,-0.031
19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1176,486,1279,719,103,233,-553.371,-792.199,51.679,53.733,42.717,103.357,-573.607,-511.511,110.000,9.540,-130.893,-0.025
19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,299,525,883,719,584,194,-637.873,-581.908,49.408,42.019,55.402,98.816,-573.607,-511.511,110.000,9.540,-130.893,-0.025
19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1162,381,1279,719,117,338,-562.633,-832.524,68.987,37.612,37.612,137.974,-573.607,-511.511,110.000,9.540,-130.893,-0.025
19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,522,638,719,638,197,-699.287,-530.501,47.477,80.798,158.131,94.953,-573.607,-511.511,110.000,9.540,-130.893,-0.025
20,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1178,479,1279,719,101,240,-553.371,-792.199,51.679,53.733,42.717,103.357,-573.052,-511.937,110.000,8.946,-131.154,-0.019
20,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,303,517,878,719,575,202,-637.873,-581.908,49.408,42.019,55.402,98.816,-573.052,-511.937,110.000,8.946,-131.154,-0.019
20,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1165,374,1279,719,114,345,-562.633,-832.524,68.987,37.612,37.612,137.974,-573.052,-511.937,110.000,8.946,-131.154,-0.019
20,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,515,638,719,638,204,-699.287,-530.501,47.477,80.798,158.131,94.953,-573.052,-511.937,110.000,8.946,-131.154,-0.019
21,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1179,472,1279,719,100,247,-553.371,-792.199,51.679,53.733,42.717,103.357,-572.542,-512.325,110.000,8.332,-131.415,-0.013
21,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,308,510,873,719,565,209,-637.873,-581.908,49.408,42.019,55.402,98.816,-572.542,-512.325,110.000,8.332,-131.415,-0.013
21,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1168,367,1279,719,111,352,-562.633,-832.524,68.987,37.612,37.612,137.974,-572.542,-512.325,110.000,8.332,-131.415,-0.013
21,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,507,637,719,637,212,-699.287,-530.501,47.477,80.798,158.131,94.953,-572.542,-512.325,110.000,8.332,-131.415,-0.013
22,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1182,464,1279,719,97,255,-553.371,-792.199,51.679,53.733,42.717,103.357,-572.011,-512.724,110.000,7.631,-131.721,-0.007
22,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,StaticMesh_SM_TargetActor_Chair_001V,315,502,868,719,553,217,-637.873,-581.908,49.408,42.019,55.402,98.816,-572.011,-512.724,110.000,7.631,-131.721,-0.007
22,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,StaticMesh_SM_TargetActor_StandingLamp_001V,1171,358,1279,719,108,361,-562.633,-832.524,68.987,37.612,37.612,137.974,-572.011,-512.724,110.000,7.631,-131.721,-0.007
22,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_002V,StaticMesh_SM_Bedroom_Couch_002V,0,499,637,719,637,220,-699.287,-530.501,47.477,80.798,158.131,94.953,-572.011,-512.724,110.000,7.631,-131.721,-0.007
23,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,StaticMesh_SM_TargetActor_Heater_002V,1185,456,1279,719,94,263,-553.371,-792.199,51.679,53.733,42.717,103.357,-571.493,-513.108,110.000,6.891,-132.043,-0.001
