Possibility,standing_at,standing_at_x,standing_at_y,facing_at,facing_at_x,facing_at_y,locate_at,locate_at_x,locate_at_y,QuadrantNumber,QuestionHard,AnswerHard,OptionsHard,QuestionMedium,AnswerMedium,OptionsMedium,QuestionEasy,AnswerEasy,OptionsEasy
11,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,4.69525,-0.09054,quadrant II,"If I am standing by the standing lamp and facing the chair, is the couch to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",B,"['A. back-left', 'B. front-left', 'C. front-right', 'D. back-right']",,,[],,,[]
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,3.3272899999999996,-3.59734,quadrant II,"If I am standing by the standing lamp and facing the chair, is the coatrack to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",B,"['A. front-right', 'B. front-left', 'C. back-left', 'D. back-right']","If I am standing by the standing lamp and facing the chair, is the coatrack to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. back', 'B. left', 'C. right']","If I am standing by the standing lamp and facing the chair, is the coatrack to the left or the right of the standing lamp?",A,"['A. left', 'B. right']"
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,3.03592,-2.34164,quadrant II,"If I am standing by the standing lamp and facing the chair, is the window to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",C,"['A. front-right', 'B. back-left', 'C. front-left', 'D. back-right']","If I am standing by the standing lamp and facing the chair, is the window to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. back', 'B. right', 'C. left']","If I am standing by the standing lamp and facing the chair, is the window to the left or the right of the standing lamp?",B,"['A. right', 'B. left']"
14,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,3.33315,-3.0196699999999996,quadrant II,"If I am standing by the standing lamp and facing the chair, is the shoesrack to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",C,"['A. back-left', 'B. back-right', 'C. front-left', 'D. front-right']","If I am standing by the standing lamp and facing the chair, is the shoesrack to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. back', 'B. left', 'C. right']","If I am standing by the standing lamp and facing the chair, is the shoesrack to the left or the right of the standing lamp?",B,"['A. right', 'B. left']"
15,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,3.89058,-1.19485,quadrant II,"If I am standing by the standing lamp and facing the chair, is the bedstool to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",C,"['A. front-right', 'B. back-right', 'C. front-left', 'D. back-left']","If I am standing by the standing lamp and facing the chair, is the bedstool to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. back', 'B. right', 'C. left']",,,[]
16,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,3.8747,0.15503,quadrant II,"If I am standing by the standing lamp and facing the chair, is the suitcase to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",D,"['A. front-right', 'B. back-right', 'C. back-left', 'D. front-left']",,,[],,,[]
17,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,4.51286,-2.66381,quadrant II,"If I am standing by the standing lamp and facing the chair, is the night stand to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",B,"['A. front-right', 'B. front-left', 'C. back-left', 'D. back-right']",,,[],,,[]
18,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,4.52135,-2.0553299999999997,quadrant I,"If I am standing by the standing lamp and facing the heater, is the heater to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",B,"['A. front-left', 'B. front-right', 'C. back-right', 'D. back-left']",,,[],,,[]
19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_001V,6.378730000000001,-5.8190800000000005,quadrant I,"If I am standing by the standing lamp and facing the heater, is the chair to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",C,"['A. front-left', 'B. back-left', 'C. front-right', 'D. back-right']","If I am standing by the standing lamp and facing the heater, is the chair to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. left', 'B. back', 'C. right']","If I am standing by the standing lamp and facing the heater, is the chair to the left or the right of the standing lamp?",B,"['A. left', 'B. right']"
20,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,quadrant II,"If I am standing by the standing lamp and facing the heater, is the chair to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",D,"['A. back-right', 'B. front-right', 'C. back-left', 'D. front-left']","If I am standing by the standing lamp and facing the heater, is the chair to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. back', 'B. right', 'C. left']",,,[]
21,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,3.948,-8.30827,quadrant II,"If I am standing by the standing lamp and facing the heater, is the fan to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",D,"['A. back-left', 'B. front-right', 'C. back-right', 'D. front-left']","If I am standing by the standing lamp and facing the heater, is the fan to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",A,"['A. left', 'B. right', 'C. back']","If I am standing by the standing lamp and facing the heater, is the fan to the left or the right of the standing lamp?",A,"['A. left', 'B. right']"
22,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,5.02841,-2.67855,quadrant I,"If I am standing by the standing lamp and facing the heater, is the backpack to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",D,"['A. back-left', 'B. back-right', 'C. front-left', 'D. front-right']",,,[],,,[]
23,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,3.43212,-8.03917,quadrant II,"If I am standing by the standing lamp and facing the heater, is the sidetable to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",A,"['A. front-left', 'B. back-right', 'C. back-left', 'D. front-right']","If I am standing by the standing lamp and facing the heater, is the sidetable to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. back', 'B. left', 'C. right']","If I am standing by the standing lamp and facing the heater, is the sidetable to the left or the right of the standing lamp?",A,"['A. left', 'B. right']"
24,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,4.69525,-0.09054,quadrant I,"If I am standing by the standing lamp and facing the heater, is the couch to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",B,"['A. front-left', 'B. front-right', 'C. back-left', 'D. back-right']",,,[],,,[]
25,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,6.0961300000000005,-0.53833,quadrant I,"If I am standing by the standing lamp and facing the heater, is the bed to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",D,"['A. front-left', 'B. back-right', 'C. back-left', 'D. front-right']","If I am standing by the standing lamp and facing the heater, is the bed to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. back', 'B. right', 'C. left']",,,[]
26,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_002V,4.52135,-2.0553299999999997,quadrant I,"If I am standing by the standing lamp and facing the chair, is the heater to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",A,"['A. front-right', 'B. back-right', 'C. front-left', 'D. back-left']","If I am standing by the standing lamp and facing the chair, is the heater to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. back', 'B. left', 'C. right']","If I am standing by the standing lamp and facing the chair, is the heater to the left or the right of the standing lamp?",B,"['A. left', 'B. right']"
27,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,3.22637,-4.29052,quadrant I,"If I am standing by the standing lamp and facing the chair, is the heater to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",C,"['A. back-right', 'B. front-left', 'C. front-right', 'D. back-left']","If I am standing by the standing lamp and facing the chair, is the heater to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",A,"['A. right', 'B. back', 'C. left']",,,[]
28,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Basket_002V,3.3368400000000005,0.13185,quadrant I,"If I am standing by the standing lamp and facing the chair, is the basket to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",D,"['A. back-right', 'B. back-left', 'C. front-left', 'D. front-right']","If I am standing by the standing lamp and facing the chair, is the basket to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. left', 'B. right', 'C. back']","If I am standing by the standing lamp and facing the chair, is the basket to the left or the right of the standing lamp?",A,"['A. right', 'B. left']"
29,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,5.02841,-2.67855,quadrant I,"If I am standing by the standing lamp and facing the chair, is the backpack to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",A,"['A. front-right', 'B. front-left', 'C. back-left', 'D. back-right']","If I am standing by the standing lamp and facing the chair, is the backpack to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. back', 'B. right', 'C. left']","If I am standing by the standing lamp and facing the chair, is the backpack to the left or the right of the standing lamp?",A,"['A. right', 'B. left']"
30,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,4.69525,-0.09054,quadrant I,"If I am standing by the standing lamp and facing the chair, is the couch to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",B,"['A. back-left', 'B. front-right', 'C. back-right', 'D. front-left']","If I am standing by the standing lamp and facing the chair, is the couch to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. back', 'B. left', 'C. right']","If I am standing by the standing lamp and facing the chair, is the couch to the left or the right of the standing lamp?",A,"['A. right', 'B. left']"
31,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,3.3272899999999996,-3.59734,quadrant I,"If I am standing by the standing lamp and facing the chair, is the coatrack to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",A,"['A. front-right', 'B. back-right', 'C. front-left', 'D. back-left']","If I am standing by the standing lamp and facing the chair, is the coatrack to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. left', 'B. back', 'C. right']","If I am standing by the standing lamp and facing the chair, is the coatrack to the left or the right of the standing lamp?",A,"['A. right', 'B. left']"
32,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,3.03592,-2.34164,quadrant I,"If I am standing by the standing lamp and facing the chair, is the window to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",D,"['A. front-left', 'B. back-left', 'C. back-right', 'D. front-right']","If I am standing by the standing lamp and facing the chair, is the window to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",C,"['A. left', 'B. back', 'C. right']","If I am standing by the standing lamp and facing the chair, is the window to the left or the right of the standing lamp?",A,"['A. right', 'B. left']"
33,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,3.33315,-3.0196699999999996,quadrant I,"If I am standing by the standing lamp and facing the chair, is the shoesrack to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",A,"['A. front-right', 'B. front-left', 'C. back-right', 'D. back-left']","If I am standing by the standing lamp and facing the chair, is the shoesrack to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. back', 'B. right', 'C. left']","If I am standing by the standing lamp and facing the chair, is the shoesrack to the left or the right of the standing lamp?",B,"['A. left', 'B. right']"
34,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,5.62633,-8.32524,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Chair_002V,4.923690000000001,-8.07944,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,4.53044,-3.3994299999999997,quadrant I,"If I am standing by the standing lamp and facing the chair, is the plant to my front-left, front-right, back-left, or back-right? The directions refer to the quadrants of a Cartesian plane (if I am standing at the origin and facing along the positive y-axis).",A,"['A. front-right', 'B. front-left', 'C. back-right', 'D. back-left']","If I am standing by the standing lamp and facing the chair, is the plant to my left, right, or back? An object is to my back if I would have to turn at least 135 degrees in order to face it.",B,"['A. left', 'B. right', 'C. back']","If I am standing by the standing lamp and facing the chair, is the plant to the left or the right of the standing lamp?",A,"['A. right', 'B. left']"
