Possibility,Actor1,Actor2,Actor3,Actor4,Actor1_FirstFrame,Actor2_FirstFrame,Actor3_FirstFrame,Actor4_FirstFrame,Question,Answer,Options
12,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,0,47,62,208,"What will be the first-time appearance order of the following categories in the video: fan, coatrack, standing lamp, heater?",A,"['A. standing lamp, heater, fan, coatrack', 'B. coatrack, standing lamp, fan, heater', 'C. fan, coatrack, heater, standing lamp', 'D. standing lamp, heater, coatrack, fan']"
13,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,47,62,210,"What will be the first-time appearance order of the following categories in the video: fan, heater, window, standing lamp?",D,"['A. standing lamp, fan, window, heater', 'B. fan, heater, window, standing lamp', 'C. standing lamp, heater, window, fan', 'D. standing lamp, heater, fan, window']"
14,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,47,62,211,"What will be the first-time appearance order of the following categories in the video: shoesrack, heater, standing lamp, fan?",B,"['A. heater, shoesrack, standing lamp, fan', 'B. standing lamp, heater, fan, shoesrack', 'C. standing lamp, shoesrack, fan, heater', 'D. shoesrack, standing lamp, heater, fan']"
15,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,47,62,223,"What will be the first-time appearance order of the following categories in the video: plant, fan, heater, standing lamp?",D,"['A. plant, heater, fan, standing lamp', 'B. plant, standing lamp, heater, fan', 'C. standing lamp, heater, plant, fan', 'D. standing lamp, heater, fan, plant']"
16,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,47,62,225,"What will be the first-time appearance order of the following categories in the video: heater, bedstool, standing lamp, fan?",A,"['A. standing lamp, heater, fan, bedstool', 'B. fan, heater, standing lamp, bedstool', 'C. standing lamp, fan, bedstool, heater', 'D. bedstool, heater, fan, standing lamp']"
17,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,47,62,234,"What will be the first-time appearance order of the following categories in the video: standing lamp, heater, suitcase, fan?",A,"['A. standing lamp, heater, fan, suitcase', 'B. standing lamp, heater, suitcase, fan', 'C. standing lamp, fan, suitcase, heater', 'D. fan, suitcase, standing lamp, heater']"
18,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,47,62,245,"What will be the first-time appearance order of the following categories in the video: standing lamp, night stand, fan, heater?",A,"['A. standing lamp, heater, fan, night stand', 'B. heater, fan, night stand, standing lamp', 'C. heater, standing lamp, fan, night stand', 'D. standing lamp, night stand, fan, heater']"
19,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Fan_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,47,62,273,"What will be the first-time appearance order of the following categories in the video: bed, heater, standing lamp, fan?",B,"['A. bed, fan, standing lamp, heater', 'B. standing lamp, heater, fan, bed', 'C. fan, heater, bed, standing lamp', 'D. standing lamp, heater, bed, fan']"
20,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,0,47,65,152,"What will be the first-time appearance order of the following categories in the video: couch, heater, backpack, standing lamp?",B,"['A. heater, backpack, couch, standing lamp', 'B. standing lamp, heater, backpack, couch', 'C. heater, couch, backpack, standing lamp', 'D. backpack, couch, standing lamp, heater']"
21,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,0,47,65,208,"What will be the first-time appearance order of the following categories in the video: standing lamp, backpack, heater, coatrack?",C,"['A. coatrack, backpack, heater, standing lamp', 'B. backpack, standing lamp, heater, coatrack', 'C. standing lamp, heater, backpack, coatrack', 'D. backpack, standing lamp, coatrack, heater']"
22,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,47,65,210,"What will be the first-time appearance order of the following categories in the video: window, backpack, heater, standing lamp?",B,"['A. standing lamp, heater, window, backpack', 'B. standing lamp, heater, backpack, window', 'C. standing lamp, backpack, heater, window', 'D. standing lamp, window, backpack, heater']"
23,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,47,65,211,"What will be the first-time appearance order of the following categories in the video: shoesrack, standing lamp, backpack, heater?",B,"['A. shoesrack, heater, standing lamp, backpack', 'B. standing lamp, heater, backpack, shoesrack', 'C. backpack, heater, shoesrack, standing lamp', 'D. shoesrack, backpack, standing lamp, heater']"
24,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,47,65,223,"What will be the first-time appearance order of the following categories in the video: heater, backpack, standing lamp, plant?",A,"['A. standing lamp, heater, backpack, plant', 'B. plant, standing lamp, backpack, heater', 'C. standing lamp, plant, heater, backpack', 'D. standing lamp, plant, backpack, heater']"
25,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,47,65,225,"What will be the first-time appearance order of the following categories in the video: standing lamp, bedstool, backpack, heater?",A,"['A. standing lamp, heater, backpack, bedstool', 'B. heater, backpack, bedstool, standing lamp', 'C. standing lamp, bedstool, heater, backpack', 'D. heater, backpack, standing lamp, bedstool']"
26,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,47,65,234,"What will be the first-time appearance order of the following categories in the video: heater, backpack, suitcase, standing lamp?",B,"['A. backpack, suitcase, standing lamp, heater', 'B. standing lamp, heater, backpack, suitcase', 'C. heater, suitcase, standing lamp, backpack', 'D. standing lamp, backpack, suitcase, heater']"
27,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,47,65,245,"What will be the first-time appearance order of the following categories in the video: heater, backpack, night stand, standing lamp?",B,"['A. backpack, heater, night stand, standing lamp', 'B. standing lamp, heater, backpack, night stand', 'C. night stand, standing lamp, heater, backpack', 'D. heater, standing lamp, backpack, night stand']"
28,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Backpack_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,47,65,273,"What will be the first-time appearance order of the following categories in the video: backpack, standing lamp, bed, heater?",A,"['A. standing lamp, heater, backpack, bed', 'B. standing lamp, heater, bed, backpack', 'C. heater, backpack, bed, standing lamp', 'D. bed, standing lamp, backpack, heater']"
29,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,0,47,68,152,"What will be the first-time appearance order of the following categories in the video: couch, sidetable, heater, standing lamp?",B,"['A. sidetable, standing lamp, couch, heater', 'B. standing lamp, heater, sidetable, couch', 'C. standing lamp, couch, sidetable, heater', 'D. sidetable, couch, heater, standing lamp']"
30,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,0,47,68,208,"What will be the first-time appearance order of the following categories in the video: coatrack, heater, sidetable, standing lamp?",D,"['A. coatrack, heater, sidetable, standing lamp', 'B. standing lamp, sidetable, heater, coatrack', 'C. heater, coatrack, sidetable, standing lamp', 'D. standing lamp, heater, sidetable, coatrack']"
31,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,47,68,210,"What will be the first-time appearance order of the following categories in the video: window, sidetable, standing lamp, heater?",B,"['A. sidetable, standing lamp, heater, window', 'B. standing lamp, heater, sidetable, window', 'C. sidetable, window, heater, standing lamp', 'D. heater, sidetable, window, standing lamp']"
32,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,47,68,211,"What will be the first-time appearance order of the following categories in the video: standing lamp, heater, shoesrack, sidetable?",D,"['A. shoesrack, sidetable, standing lamp, heater', 'B. shoesrack, heater, standing lamp, sidetable', 'C. sidetable, heater, standing lamp, shoesrack', 'D. standing lamp, heater, sidetable, shoesrack']"
33,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,47,68,223,"What will be the first-time appearance order of the following categories in the video: sidetable, heater, plant, standing lamp?",B,"['A. plant, sidetable, standing lamp, heater', 'B. standing lamp, heater, sidetable, plant', 'C. standing lamp, plant, heater, sidetable', 'D. heater, plant, standing lamp, sidetable']"
34,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bedstool_001V,0,47,68,225,"What will be the first-time appearance order of the following categories in the video: heater, standing lamp, bedstool, sidetable?",C,"['A. sidetable, heater, standing lamp, bedstool', 'B. bedstool, sidetable, standing lamp, heater', 'C. standing lamp, heater, sidetable, bedstool', 'D. standing lamp, bedstool, sidetable, heater']"
35,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Suitcase_001V,0,47,68,234,"What will be the first-time appearance order of the following categories in the video: standing lamp, sidetable, suitcase, heater?",A,"['A. standing lamp, heater, sidetable, suitcase', 'B. suitcase, heater, standing lamp, sidetable', 'C. suitcase, standing lamp, heater, sidetable', 'D. heater, standing lamp, suitcase, sidetable']"
36,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_NightStand_002V,0,47,68,245,"What will be the first-time appearance order of the following categories in the video: standing lamp, sidetable, night stand, heater?",D,"['A. night stand, standing lamp, sidetable, heater', 'B. sidetable, heater, night stand, standing lamp', 'C. heater, night stand, sidetable, standing lamp', 'D. standing lamp, heater, sidetable, night stand']"
37,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Sidetable_006V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Bed_001V,0,47,68,273,"What will be the first-time appearance order of the following categories in the video: bed, heater, standing lamp, sidetable?",A,"['A. standing lamp, heater, sidetable, bed', 'B. heater, standing lamp, bed, sidetable', 'C. bed, heater, standing lamp, sidetable', 'D. sidetable, bed, standing lamp, heater']"
38,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Coatrack_001V,0,47,152,208,"What will be the first-time appearance order of the following categories in the video: standing lamp, couch, heater, coatrack?",D,"['A. heater, coatrack, couch, standing lamp', 'B. standing lamp, coatrack, heater, couch', 'C. couch, coatrack, heater, standing lamp', 'D. standing lamp, heater, couch, coatrack']"
39,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_General_Window_003V,0,47,152,210,"What will be the first-time appearance order of the following categories in the video: window, couch, heater, standing lamp?",C,"['A. heater, standing lamp, couch, window', 'B. standing lamp, couch, heater, window', 'C. standing lamp, heater, couch, window', 'D. heater, standing lamp, window, couch']"
40,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Shoesrack_001V,0,47,152,211,"What will be the first-time appearance order of the following categories in the video: heater, couch, shoesrack, standing lamp?",C,"['A. standing lamp, shoesrack, couch, heater', 'B. couch, standing lamp, heater, shoesrack', 'C. standing lamp, heater, couch, shoesrack', 'D. shoesrack, standing lamp, couch, heater']"
41,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_StandingLamp_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Heater_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_Bedroom_Couch_001V,BP_pipeline_C_UAID_18C04D8F75B69C7302_2034457391_SM_TargetActor_Plant_002V,0,47,152,223,"What will be the first-time appearance order of the following categories in the video: plant, standing lamp, heater, couch?",B,"['A. couch, standing lamp, heater, plant', 'B. standing lamp, heater, couch, plant', 'C. couch, heater, plant, standing lamp', 'D. couch, heater, standing lamp, plant']"
